"H2CO",3.65237205E+00,5.55807060E-03,-1.97617181E-06,3.16823378E-10,-1.88747598E-14,1.35536156E+04,4.22140840E+00
"H2O",0.26770389E+01,0.29731816E-02,-0.77376889E-06,0.94433514E-10,-0.42689991E-14,-0.29885894E+05,0.68825500E+01
"H2O2",4.57977305E+00,4.05326003E-03,-1.29844730E-06,1.98211400E-10,-1.13968792E-14,-1.80071775E+04,6.64970694E-01
"H2S",0.29770813E+01,0.36005325E-02,-0.12328487E-05,0.19692654E-09,-0.11677327E-13,-0.35155970E+04,0.67868340E+01
"H2SO4",1.13355392E+01,5.60829109E-03,-1.94574192E-06,3.07136054E-10,-1.81109544E-14,-9.21087435E+04,-2.96094003E+01
"H3CO",4.75779238E+00,7.44142474E-03,-2.69705176E-06,4.38090504E-10,-2.63537098E-14,3.90139164E+02,-1.96680028E+00
"HCAER",NA,NA,NA,NA,NA,NA,NA
"HCl",0.27575767E+01,0.14538737E-02,-0.47964697E-06,0.77790943E-10,-0.47957377E-14,-0.11913766E+05,0.65219722E+01
"HCO",4.23892214E+00,1.96576170E-03,-3.82075171E-07,4.80137647E-11,-3.11176347E-15,2.47261645E+04,1.99698242E+00
"HNO",0.31655229E+01,0.30000862E-02,-0.39436619E-06,-0.38575815E-10,0.70807189E-14,0.11194426E+05,0.76477833E+01
"HNO2",0.57919018E+01,0.36515212E-02,-0.12928936E-05,0.20688716E-09,-0.12315254E-13,-0.11565589E+05,-0.40558233E+01
"HNO3",8.03098942E+00,4.46958589E-03,-1.72459491E-06,2.91556153E-10,-1.80102702E-14,-1.93138183E+04,-1.62616537E+01
"HO2",4.17228741E+00,1.88117627E-03,-3.46277286E-07,1.94657549E-11,1.76256905E-16,3.10206839E+01,2.95767672E+00
"HO2NO2",NA,NA,NA,NA,NA,NA,NA
"HOCl",0.43664934E+01,0.20513656E-02,-0.67087650E-06,0.10131893E-09,-0.57791828E-14,-0.10576070E+05,0.28049555E+01
"HS",NA,NA,NA,NA,NA,NA,NA
"HSO",0.45416010E+01,0.22648458E-02,-0.83152058E-06,0.13614796E-09,-0.82290966E-14,-0.21608556E+04,0.23357633E+01
"HSO3",0.91911575E+01,0.27980912E-02,-0.97493219E-06,0.15441946E-09,-0.91299297E-14,-0.49457258E+05,-0.18510636E+02
"N",0.24159429E+01,0.17489065E-03,-0.11902369E-06,0.30226244E-10,-0.20360983E-14,0.56133775E+05,0.46496095E+01
"NH",0.27836929E+01,0.13298429E-02,-0.42478047E-06,0.78348504E-10,-0.55044470E-14,0.42134514E+05,0.57407798E+01
"NH2",2.59263049E+00,3.47683597E-03,-1.08271624E-06,1.49342558E-10,-5.75241187E-15,2.18865421E+04,7.90565351E+00
"NH2s",NA,NA,NA,NA,NA,NA,NA
